name,alias,coarse_categories,fine_categories,cuisines,associated_cuisines,area,countries,region1,region2,region3,region4,region5,text_description
Dumb bread,[],['bread'],['loaf bread'],['American' 'English'],['American' 'English'],['Virgin Islands'],['United States' 'England'],Northern Europe,Northern America,,,,"This bread does not require any yeast. Ingredients include flour, water, butter, sugar, baking powder, salt, and milk; oftentimes, shredded coconut is also added to the dough. Sometimes, cornmeal may be used. The bread can be filled with cheddar cheese. It is served cut into triangles and often along with bush tea or coffee."
Egg waffle,"[{'gai daan jai (雞蛋仔)': 'Cantonese'}, {'egg puff': 'English'}, {'bubble waffle': 'English'}, {'eggette': 'English'}, {'pancake balls': 'English'}, {'pancake waffle': 'English'}, {'egglet': 'English'}, {'puffle': 'English'}, {'Hong Kong cakes': 'English'}]",['bread'],['waffle'],['Chinese'],['Chinese'],['Hong Kong' 'Macau'],['China'],Eastern Asia,,,,,"A spherical waffle consisting of an eggy leavened batter cooked between two plates of semi-spherical cells. They are usually served hot, and often eaten plain, although they may be served with fruit and flavors such as strawberry, coconut or chocolate."
English muffin,[{'no_alias': []}],['bread'],['leavened bread'],['English'],['English' 'American' 'Canadian' 'Australian' 'New Zealand'],['England'],['England' 'United States' 'Canada' 'Australia' 'New Zealand'],Australia and New Zealand,Northern Europe,Northern America,,,"Small, round and flat yeast-leavened (sometimes sourdough) bread which is commonly 4 in (10 cm) round and 1.5 in (4 cm) tall made from wheat flour, butter, milk, sugar, salt, egg, and yeast. It is generally split horizontally and served toasted. It is frequently eaten with sweet or savoury toppings such as butter, fruit jam, honey, eggs, sausage, bacon, or cheese."
Farl,[],['bread'],['flatbread'],['Irish'],['Irish'],['Ireland'],['Ireland'],Northern Europe,,,,,"Any of various quadrant-shaped flatbreads and cakes, traditionally made by cutting a round into four pieces, made especially with oatmeal or wheat flour."
French roll,[{'name': 'no_alias'}],['bread'],['bread roll'],['Global'],['Global'],['Global'],['Global'],Global,,,,,Refers to bread rolls in different regions around the world.
Flatbrød,[{'no_alias': 'not_stated'}],['bread'],['flatbread'],['Norwegian'],['Norwegian'],['Norway'],['Norway'],Northern Europe,,,,,"A traditional unleavened bread which is usually eaten with fish, salted meats and soups. It is dry and free from water so it is possible to store it for a long period of time. The basic ingredients are barley flour, salt, and water, though many varieties exist which incorporate other staples."
Flatkaka,[{'flatbrauð': 'not_stated'}],['bread'],['flatbread'],['Icelandic'],['Icelandic'],['Iceland'],['Iceland'],Northern Europe,,,,,"Unleavened rye flatbread that is soft, round, thin and dark with a characteristic pattern from the pan. Traditionally, it was baked on hot stones or straight on the embers of the fire, later on small but heavy cast iron frying pans, and today, when making the dish at home, people sometimes bake them directly on an electric hot plate to get the desired result."
Focaccia,"[{'fugassa': 'Ligurian'}, {'fecazze': 'Barese'}, {'foˈkattsə': 'Neapolitan'}]",['bread'],['flatbread'],['Italian'],['Italian'],['Italy'],['Italy'],Southern Europe,,,,,"A flat leavened oven-baked made from high-gluten flour, oil, water, salt, yeast."
Fougasse,"[{'fogaça': 'Occitan'}, {'panis focacius': 'not_stated'}, {'focaccia': 'not_stated'}, {'hogaza': 'Spanish'}, {'fogassa': 'Catalan'}, {'fugàssa': 'Ligurian'}, {'pogača': 'Balkans'}, {'pogácsa': 'Hungarian'}, {'fouace': 'not_stated'}, {'fouée': 'not_stated'}]",['bread'],['flatbread'],['French'],['French'],['Provence'],['France'],Western Europe,,,,,"It is used to make a regional version of a calzone, commonly filled with cheese and small strips of bacon inside the pocket made by folding the bread over. Other variations include dried fruit, a type of blue cheese and nuts, or olives and goat cheese."
Fugazza,[{'fugassa': 'Genoese dialect'}],['bread'],['pizza'],['Argentinian'],['Argentinian'],['Buenos Aires'],['Argentina'],South America,,,,,"A thick pizza crust topped with onions, cheese, and sometimes olives. It is derived from a combination of Neapolitan pizza with Italian focaccia bread."
Graham bread,[{'no_alias': 'not_stated'}],['bread'],['loaf bread'],['American'],['American'],['United States'],['United States'],Northern America,,,,,"The bread include Graham flour, milk, molasses, yeast, and salt."
Cong you bing,"[{'Cong you bing': 'Chinese'}, {'蔥油餅': 'Chinese'}, {""Ts'ung1-yu2-ping3"": 'Wade–Giles'}, {'scallion pancake': 'English'}, {'green onion pancake': 'English'}, {'num pang chen': 'Khmer'}, {'នំប៉័ងចិន': 'Khmer'}]",['bread'],['flatbread'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"A savory, unleavened flatbread folded with oil and minced scallions (green onions). It is made from dough instead of batter. It is pan-fried, which gives it crisp edges and a chewy texture."
Guokui,"[{'鍋盔': 'traditional Chinese'}, {'锅盔': 'simplified Chinese'}, {'guōkuī': 'pinyin'}]",['bread'],['flatbread'],['Shaanxi'],['Shaanxi' 'Chinese'],['Shaanxi' 'China'],['China'],Eastern Asia,,,,,"The dish is a kind of flatbread made from flour. The dish is said to have been invented by a laborer who cooked flatbread in his iron helmet over a wood fire. It is round in shape, about a foot long in diameter, an inch in thickness, and weighs about 2.5 kg."
Hallulla,"[{'hallulla': 'Spanish'}, {'challah': 'Hebrew'}]",['bread'],['bread'],['Chilean' 'Bolivian'],['Chilean' 'Bolivian'],['Chile' 'Bolivia'],['Chile' 'Bolivia'],South America,,,,,"The dish is a popular bread. It is a flat round bread baked with vegetable (but sometimes also animal) shortening and is used for several traditional sandwiches. The traditional recipe includes wheat flour, yeast, sugar, salt, vegetable shortening, milk and water. "
Hardtack,"[{""no_alias"": true}]",['biscuit'],['dense biscuit'],['Global'],['Global'],['Global'],['Global'],Global,,,,,"The dish is a type of dense biscuit or cracker made from flour, water, and sometimes salt. It is inexpensive and long-lasting. It is used for sustenance in the absence of perishable foods, commonly during long sea voyages, land migrations, and military campaigns."
Himbasha,"[{'ሕምባሻ': 'Tigrinya'}, {'አምባሻ': 'Amharic'}, {'Himbasha': 'not_stated'}, {'Ambasha': 'not_stated'}]",['bread'],['sweet bread'],['Eritrean' 'Ethiopian'],['Eritrean' 'Ethiopian'],['Eritrea' 'Ethiopia'],['Eritrea' 'Ethiopia'],Eastern Africa,,,,,"The dish is a celebration bread that is slightly sweet. It often served at special occasions. The dough is given a decorative touch before baking. The design varies in detail, but in general, is given the shape of a wheel with indentations to create several spokes. Common additions to the recipe include candied orange, ginger, or ground cardamom seeds, although plain varieties are not unheard of. "
Hoagie roll,"[{'hero': 'not_stated'}, {'course': 'not_stated'}]",['bread'],['bread roll'],['Global'],['Global'],['Global'],['Global'],Global,,,,,"The dish is a type of long roll used to prepare sandwiches. They are sometimes toasted before being used to prepare a sandwich. Ingredients used in it preparation may include flour, egg, milk, vegetable oil, salt, sugar and yeast. Some versions include sesame seeds atop the roll, which may add extra flavor and textural elements. Gluten-free and vegan recipes have been devised. "
Hot and spicy cheese bread,[],['bread'],['cheese bread'],['American'],['American'],['United States'],['United States'],Northern America,,,,,"The dish is a popular cheese bread. The bread is sold at farmer's markets across the city and at local bakeries. Today, the bread is made with a brioche-like yeasted dough, mixed with cheese, and topped with crushed hot red peppers. It also contains chives and parsley. The bread is often eaten as a snack bread, pulled apart and eaten while walking around the farmers market."
Ka'ak,"[{'كعك': 'Arabic'}, {'kaak': 'not_stated'}, {'kahqa': 'not_stated'}, {'kue kaak': 'not_stated'}]",['pastry' 'bread'],['pastry' 'bread'],['Middle Eastern'],['Arab'],"['Algeria' 'Bahrain' 'Comoros' 'Djibouti' 'Egypt' 'Iraq' 'Jordan' 'Kuwait'
 'Lebanon' 'Libya' 'Mauritania' 'Morocco' 'Oman' 'Palestine' 'Qatar'
 'Saudi Arabia' 'Somalia' 'Sudan' 'Syria' 'Tunisia' 'United Arab Emirates'
 'Yemen']","['Algeria' 'Bahrain' 'Comoros' 'Djibouti' 'Egypt' 'Iraq' 'Jordan' 'Kuwait'
 'Lebanon' 'Libya' 'Mauritania' 'Morocco' 'Oman' 'Palestine' 'Qatar'
 'Saudi Arabia' 'Somalia' 'Sudan' 'Syria' 'Tunisia' 'United Arab Emirates'
 'Yemen']",Western Africa,Northern Africa,Western Asia,Eastern Africa,,The dish refer to several different types of baked goods. The bread is similar to a dry and hardened biscuit and mostly ring-shaped.
Kamir,"[{'كامير': 'Pegon'}, {'samir': 'not_stated'}, {'khamir': 'not_stated'}]",['bread'],['bread'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish is a round-shaped bread that almost similar to pancake, consists of flour, butter, and egg mixture, sometimes mixed with other fillings ingredients such as banana, tapai, strawberry, pineapple, jackfruit, cheese, and chocolate."
Khanom bueang,"[{'ขนมเบื้อง': 'Thai'}, {'ไม่เปิดเผย': 'not_stated'}]",['pancake'],['pancake'],['Thai'],['Thai'],['Thailand'],['Thailand'],South Eastern Asia,,,,,"The dish is an ancient snack known as crispy pancakes. It is a popular form of street food. These crepes resemble tacos. They are usually first topped or filled with meringue, followed by sweet or salty toppings such as shredded coconut, strips of fried eggs or egg yolks, or chopped scallions. "
Khakhra,[{'no_alias': 'not_stated'}],['biscuit'],['hard biscuit'],['Indian'],['Indian'],['Gujarat'],['India'],Southern Asia,,,,,"The dish is a thin cracker. It is made from mat bean, wheat flour and oil. "
Kitcha,"[{'ቅጫ': 'Tigrinya'}, {'ቂጣ': 'Amharic'}, {'Maxinoo': 'Oromo'}]",['bread'],['flatbread'],['Eritrean'],['Eritrean'],['Eritrea'],['Eritrea'],Eastern Africa,,,,,"The dish is a relatively thin unleavened bread. It is generally made with wheat flour, water, and salt. It is cooked in a hot pan free-form until one side is cooked. It is then picked up and cooked on the other side. Slight burning on each side is often seen. It will take the shape of the pan in which it is cooked (much like a pancake, though it bears no relation)."
Kulcha,[{'group_name': 'no_alias'}],['bread'],['flatbread'],['Punjabi'],['Pakistani' 'Indian' 'Punjabi'],['Pakistan' 'India' 'Punjab'],['Pakistan' 'India' 'India'],Southern Asia,,,,,"The dish is a term for a disc-shaped loaf of leavened bread. It describes a disc-shaped loaf of bread, bun or even biscuit. It made from maida flour, water, a pinch of salt and a leavening agent (yeast, sourdough or old dough), mixed together by hand to make a soft dough. This dough is covered with a wet cloth and left to rest for an hour or so in a warm place. The result is a slight leavening of the dough but not much. The flour is kneaded again by hand and then rolled out using a rolling pin into a flat, round shape. In commercial establishments, it is baked in an earthen clay oven until done. After cooking, it is taken off the fire and optionally brushed with butter or ghee for a shiny, appetizing appearance."
Lagana,"[{'λάγανον': 'Greek'}, {'tracta': 'Greek'}, {'no_alias': 'not_stated'}]",['bread'],['flatbread'],['Greek'],['Greek'],['Greece'],['Greece'],Southern Europe,,,,,"The dish is a flatbread. Traditionally, it was prepared unleavened (without the yeast), but leavened is nowadays more common. It is typically flat, oval-shaped, with surface decorated by impressing fingertips."
Lahoh,"[{'لحوح': 'Arabic'}, {'laḥūḥ': 'Arabic (romanized)'}, {'لحوحو': ""Somali (Ge'ez script)""}, {'Canjeero': 'Somali (Latin script)'}, {'𐒋𐒖𐒒𐒃𐒜𐒇𐒙': 'Somali (Osmanya script)'}, {'Laxoox': 'Somali (Latin script)'}, {'𐒐𐒖𐒄𐒝𐒄': 'Somali (Osmanya script)'}, {'no_alias': 'not_stated'}]",['bread'],['flatbread'],['Somalian' 'Djiboutian' 'Kenyan' 'Ethiopian' 'Yemeni' 'Saudi Arabian'],['Somalian' 'Djiboutian' 'Kenyan' 'Ethiopian' 'Yemeni' 'Saudi Arabian'],['Somalia' 'Djibouti' 'Kenya' 'Ethiopia' 'Yemen' 'Saudi Arabia'],['Somalia' 'Djibouti' 'Kenya' 'Ethiopia' 'Yemen' 'Saudi Arabia'],Western Asia,Eastern Africa,,,,"The dish is a spongy, flat pancake-like bread. It is a type of flat bread. It is traditionally and typically prepared from a thick batter of sorghum flour, White cornmeal/cornflour, warm water, yeast, and a pinch of salt. The mixture is beaten by hand until soft and creamy. The batter is then left to ferment overnight to cook and then eat for breakfast. There is a sweet-tasting variety of the dish, one made with eggs.  It is traditionally baked on a metallic circular stove. Lacking that, it can also be baked in an ordinary pan. "
Lángos,[{'name': 'no_alias'}],['bread'],['flatbread' 'fried bread'],['Hungarian'],['Hungarian'],['Hungary'],['Hungary'],Eastern Europe,,,,,"The dish is a deep fried flatbread, but in the past it was made of the last bits of the bread-dough and baked at the front of a brick or clay oven, to be served hot as the breakfast of the bread-baking day."
Laobing,"[{'烙餠': 'Chinese'}, {'pinyin': 'not_stated'}, {'pinyin': 'not_stated'}]",['bread'],['flatbread'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"The dish is a type of unleavened flatbread popular. It can be the size of a large pizza, about one centimeter thick, and is doughy and chewy in texture. It is made by pan frying a rolled and layered unleavened dough consisting of salt, flour, and water. Most are plain, although some have scallions or brown sugar inside the pastry. It is usually cut into slices and served as a staple food, or can be stir-fried with meat and vegetable to make stir-fried pancakes."
Laufabrauð,"[{'雪片麵包': 'simplified Chinese'}, {'leaf bread': 'English'}, {'no_alias': 'not_stated'}]",['bread'],['flatbread'],['Icelandic'],['Icelandic'],['Iceland'],['Iceland'],Northern Europe,,,,,"The dish is a traditional kind of bread. It consists of round, very thin flat cakes with a diameter of about 15 to 20 cm (6 to 8 inches), decorated with leaf-like, geometric patterns and fried briefly in hot tallow or oil."
Limpa,"[{'vörtbröd':'not_stated'}, {'vörtlimpa':'not_stated'}]",['bread'],['rye bread'],['Scandinavian'],['Swedish'],['Scandinavia'],['Denmark' 'Norway' 'Sweden'],Northern Europe,,,,,"The dish is a sweet rye bread. It is a yeast-leavened spice loaf, sweetened with brown sugar and molasses which comes in a large variety in regard to whether or not butter-enriched, and which spices are being used. Traditional bread spices are anise, caraway, fennel seeds, and bitter orange. Typically baked during the Christmas season, the festive wort breads/loaves are flavoured with spices like anise, caraway, and fennel seeds, and often orange rinds, raisins or sultanas, and dark beer, in addition to the wort. Its distinct taste and look is in large part due to the addition of wort to the dough, making it similar to a malt loaf. It is a typical dish for a traditional Christmas Eve. It pairs well with jams and jellies, or cream cheese."
Lavash,"[{'լավաշ': 'Armenian'}, {'نان لواش': 'Persian'}]",['bread'],['flatbread'],['Armenian' 'Azerbaijani' 'Iranian' 'Turkish'],['Armenian' 'Azerbaijani' 'Iranian' 'Turkish'],['Armenia' 'Azerbaijan' 'Iran' 'Turkey'],['Armenia' 'Azerbaijan' 'Iran' 'Turkey'],Western Asia,Southern Asia,,,,"This dish is a thin flatbread that is usually leavened. Traditionally the dough is rolled out flat and slapped against the hot walls of a clay oven, but modern recipes may adapt for cooking on a wok."
Lefse,[{'lefse-klenning': 'Norwegian'}],['bread'],['flatbread'],['Norwegian'],['Norwegian'],['Norway'],['Norway'],Northern Europe,,,,,"The dish is made with riced potatoes, can include all purpose (wheat) flour, and includes butter, and milk, cream, or lard."
Lye roll,"[{'Laugengebäck': 'German'}, {'Laugensemmel': 'German'}, {'Kastanie': 'German'}, {'Laugeweckle': 'German'}, {'Laugestängle': 'German'}, {'Laugenwecken': 'German'}, {'Laugenbrötchen': 'German'}, {'Laugenstange': 'German'}, {'Laugenweckerl': 'German'}, {'Silserli': 'German'}, {'Laugenbrötli': 'German'}, {'laugen rolls': 'English'}, {'mauricette': 'French'}, {'Moricette': 'French'}]",['bread'],['bread roll'],['German' 'French' 'Swiss' 'Austrian'],['German' 'French' 'Swiss' 'Austrian'],['Bavaria' 'Swabia' 'Alsace' 'Switzerland' 'Austria'],['Germany' 'France' 'Switzerland' 'Austria'],Western Europe,,,,,"The dish is typically covered with salt, preferably pretzel salt."
Maluj,"[{'ملوج': 'Arabic'}, {'ملوجة': 'Arabic'}]",['bread'],['flatbread'],['Yemeni'],['Yemeni'],['Yemen'],['Yemen'],Western Asia,,,,,"The dish is typically made with flour, cooking oil, yeast, fenugreek, and salt."
Maltese bread,[{'Il-Ħobż tal-Malti': 'Maltese'}],['bread'],['sourdough bread'],['Maltese'],['Maltese'],['Qormi'],['Malta'],Southern Europe,,,,,"The dish is typically eaten with spread olive oil, where the bread is rubbed with tomatoes or tomato paste, drizzled with olive oil and filled with a choice or mix of tuna, olives, capers, onion, bigilla and ġbejna."
Markook,"[{'خبز مرقوق': 'Arabic'}, {'khubz marqūq': 'not_stated'}, {'khubz ruqaq': 'Arabic'}, {'رقاق': 'Arabic'}, {'shrak': 'Arabic'}, {'شراك': 'Arabic'}, {'khubz rqeeq': 'Arabic'}, {'رقيق': 'Arabic'}, {'mashrooh': 'Arabic'}, {'مشروح': 'Arabic'}, {'saj bread': 'English'}, {'خبز صاج': 'Arabic'}]",['bread'],['flatbread'],['Levantine' 'Arabian Peninsula'],['Levantine' 'Arabian Peninsula'],['Levant' 'Arabian Peninsula'],"['Bahrain' 'Kuwait' 'Oman' 'Qatar' 'Saudi Arabia' 'United Arab Emirates'
 'Yemen']",Western Asia,,,,,"The dish is a type of thin bread. The dough is unleavened and usually made with only flour, water, and salt, and after being rested and divided into round portions, flattened and spread across a round cushion until it is thin then flipped onto the saj."
Mohnflesserl,"[{'Mohnstriezerl': 'not_stated'}, {'Mohnzopf': 'not_stated'}, {'Mohnweckerl': 'not_stated'}]",['bread'],['braided bread'],['Austrian'],['Austrian'],['Austria'],['Austria'],Western Europe,,,,,"The dish is in the form of a braided bun. It is typically sprinkled with poppy seeds , salt, and sometimes served glazed."
Michetta,"[{'miˈketta': 'Italian'}, {'little crumb': 'English'}, {'rosetta': 'Italian'}, {'little rose': 'English'}, {'Kaisersemmel': 'German'}]",['bread'],['bread'],['Italian'],['Italian'],['Lombardy' 'Rome' 'Lazio'],['Italy'],Southern Europe,,,,,The dish is a bread recognizable by its bulged shape.
Pain de campagne,[{'French': 'not_stated'}],['bread'],['loaf bread'],['French'],['French'],['France'],['France'],Western Europe,,,,,"The dish is a bread made with a combination of white flour with whole wheat flour and/or rye flour, water, leavening and salt. "
Melonpan,"[{'メロンパン': 'Japanese'}, {'melon bun': 'English'}, {'melon bread': 'English'}]",['bread'],['sweet bun'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,The dish is a sweetbun covered in a layer of crispy cookie dough.
Matzah,"[{'maẓẓah': 'Hebrew'}, {'maṣṣā': 'Hebrew'}, {'מצה': 'Hebrew'}, {'matzo': 'not_stated'}]",['bread'],['flatbread'],['Jewish'],['Jewish'],['Israel'],['Israel'],Western Asia,,,,,The dish is an unleavened flatbread made from flour and water. It is also an integral element of a relogious festival.
Shotis puri,"[{'შოთის პური': 'Georgian'}, {'shoti': 'not_stated'}]",['bread'],['bread'],['Georgian'],['Georgian'],['Georgia'],['Georgia'],Western Asia,,,,,The dish is a bread made of white flour and shaped like a canoe.
Marraqueta,[{'name': 'no_alias'}],['bread'],['bread roll'],['Bolivian' 'Chilean'],['Bolivian' 'Peruvian' 'Chilean'],['Bolivia' 'Peru' 'Chile'],['Bolivia' 'Peru' 'Chile'],South America,,,,,"The dish is a bread roll made with wheat flour, salt, water and yeast and has a crusty exterior."
Japanese milk bread,"[{'食パン': 'Japanese'}, {'shokupan': 'not_stated'}, {'Hokkaido milk bread': 'English'}, {'milk bread': 'English'}]",['bread'],['milk bread'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is a bread made of flour, whole milk, butter, yeast, salt, sugar and often eggs."
Sheermal,"[{'شیرمال': 'Persian'}, {'शीरमल': 'Hindi'}, {'শিরমাল': 'Bengali'}, {'শীরমাল': 'Bengali'}, {'shirmal': 'not_stated'}]",['bread'],['flatbread'],['Iranian' 'Indian' 'Pakistani' 'Bangladeshi' 'Afghan'],['Iranian' 'Indian' 'Pakistani' 'Bangladeshi' 'Afghan'],['Iran' 'India' 'Pakistan' 'Bangladesh' 'Afghanistan'],['Iran' 'India' 'Pakistan' 'Bangladesh' 'Afghanistan'],Southern Asia,,,,,The dish is a saffron-flavored traditional flatbread.
Shaobing,"[{'shāobǐng': 'pinyin'}, {'shao-ping': 'Wade–Giles'}, {'huoshao': 'not_stated'}]",['bread'],['flatbread'],['Chinese'],['Chinese'],['China'],['China'],Eastern Asia,,,,,"The dish is a type of baked, unleavened, layered flatbread. It is can be made with or without stuffing, and with or without sesame on top."
Sgabeo,[{'name': 'no_alias'}],['bread'],['doughnut'],['Italian'],['Italian'],['Lunigiana'],['Italy'],Southern Europe,,,,,"The dish is leavened bread dough, cut into strips, fried and salted on the surface that is traditionally eaten plain or stuffed with cheese or cold cuts."
Scallion bread,"[{'蔥花麵包': 'Chinese'}, {'Cōng Hūa Mìan Bāo': 'Pinyin'}]",['bread'],['bread'],['Taiwanese'],['Taiwanese'],['Taiwan'],['China'],Eastern Asia,,,,,"The dish is characterized by its green onion topping and use of traditional lard, featuring a soft, fluffy texture and a distinctive aroma"
Scone,[{'name': 'no_alias'}],['bread'],['quick bread'],['British'],['British' 'Irish'],['United Kingdom' 'Ireland'],['United Kingdom' 'Ireland'],Northern Europe,,,,,"The dish is usually made of either wheat flour or oatmeal, with baking powder as a leavening agent, and baked on sheet pans."
Sangak,"[{'سنگک': 'Persian'}, {'سەنگەک': 'Azerbaijani'}, {'sengek': 'Kurdish'}]",['bread'],['flatbread'],['Iranian'],['Iranian'],['Iran'],['Iran'],Southern Asia,,,,,"The dish is is a plain, rectangular or triangular whole wheat leavened flatbread."
Sandwich roll,"[{'telera': 'Spanish'}, {'birote': 'Spanish'}]",['bread'],['bread roll'],['Mexican'],['Mexican'],['Jalisco'],['Mexico'],Central America,,,,,"The dish is a type of white bread usually made from wheat flour, yeast, water and salt"
Salt-rising bread,"[{""no_alias"": []}]",['bread'],['loaf bread'],['American'],['American'],['Appalachian Mountains'],['United States'],Northern America,,,,,The dish is a dense white bread leavened by naturally occurring wild bacteria rather than by yeast.
Samoon,[{'صمون': 'Arabic'}],['bread'],['yeast bread'],['Iraqi'],['Levantine' 'Iraqi' 'Syrian' 'Lebanese'],['Iraq' 'Syria' 'Lebanon'],['Iraq' 'Syria' 'Lebanon'],Western Asia,,,,,The dish is a type of yeast bread. It is baked in traditional stone ovens.
Manda roti,"[{'Rumali roti': 'not_stated'}, {'वीचु रोटी': 'Tamil'}, {'Mandige': 'not_stated'}]",['bread'],['flatbread'],['Indian'],['Indian' 'Pakistani'],['India' 'Pakistani'],['India' 'Pakistan'],Southern Asia,,,,,"This dish is extremely thin and limp, and served folded like a handkerchief. "
Rugbrød,[{'no_alias': 'not_stated'}],['bread'],['rye bread'],['Danish'],['Danish'],['Denmark'],['Denmark'],Northern Europe,,,,,"The dish is made with rye flour as the basic ingredient, which produces a plain or ""old-fashioned"" bread with a uniform, somewhat heavy structure. "
Roti canai,"[{'Roti prata': 'not_stated'}, {'Roti chanai': 'not_stated'}, {'Roti cane': 'not_stated'}]",['bread'],['flatbread'],['Indian'],['Bruneian' 'Indonesian' 'Malaysian' 'Singaporean' 'Thai' 'Indian'],['Brunei' 'Indonesia' 'Malaysia' 'Singapore' 'Thailand' 'India'],['Brunei Darussalam' 'Indonesia' 'Malaysia' 'Singapore' 'Thailand' 'India'],Southern Asia,South Eastern Asia,,,,"The dish is a flatbread made from dough that is composed of fat (usually ghee), flour, and water; some recipes also include sweetened condensed milk."
Roti buaya,[{'no_alias': []}],['dessert'],['dessert'],['Indonesian'],['Indonesian'],['Jakarta' 'Banten' 'West Java'],['Indonesia'],South Eastern Asia,,,,,The dish is two piece sweetened bread in the shape of a crocodile.
Piadina romagnola,"[{'piadina': 'not_stated'}, {'piada': 'not_stated'}, {'piada (Italian: [ˈpjaːda])': 'Italian'}]",['bread'],['flatbread'],['Italian'],['Italian'],['Romagna'],['Italy'],Southern Europe,,,,,"The dish is a thin flatbread, usually made with white flour, lard or olive oil, salt, and water."
Paratha,"[{'porota': 'Bengali'}, {'palata': 'Myanmar'}, {'porotha': 'Assamese'}, {'forota': 'Sylheti'}, {'farata': 'Mauritius'}, {'farata': 'Maldives'}, {'prata': 'Southeast Asia'}, {'paronthi': 'Punjabi'}, {'buss-up shut': 'Anglophone Caribbean'}, {'oil roti': 'Anglophone Caribbean'}, {'roti canai': 'Malaysia'}, {'roti canai': 'Indonesia'}, {'parantha': 'not_stated'}, {'parauntha': 'not_stated'}, {'prontha': 'not_stated'}, {'parontay': 'not_stated'}]",['bread'],['flatbread'],['Indian'],"['Indian' 'Sri Lankan' 'Bangladeshi' 'Fijian' 'Guyanese' 'Malaysian'
 'Maldivian' 'Thai' 'Burmese' 'Nepalese' 'Pakistani' 'Middle Eastern'
 'Singaporean' 'Surinamese' 'Trinidadian and Tobagonian']","['India' 'Sri Lanka' 'Bangladesh' 'Fiji' 'Guyana' 'Malaysia' 'Maldives'
 'Thailand' 'Myanmar' 'Nepal' 'Pakistan' 'Middle East' 'Singapore'
 'Suriname' 'Trinidad and Tobago']","['India' 'Sri Lanka' 'Bangladesh' 'Fiji' 'Guyana' 'Malaysia' 'Maldives'
 'Thailand' 'Myanmar' 'Nepal' 'Pakistan' 'Bahrain' 'Cyprus' 'Egypt' 'Iran'
 'Iraq' 'Israel' 'Jordan' 'Kuwait' 'Lebanon' 'Oman' 'Palestine' 'Qatar'
 'Saudi Arabia' 'Syria' 'United Arab Emirates' 'Yemen' 'Singapore'
 'Suriname' 'Trinidad and Tobago']",Global,,,,,"The dish is a kine of unleavened flatbreads made by baking or cooking whole-wheat dough on a tava, and finishing off with shallow-frying."
Panettone,[{'panetton': 'Milanese'}],['cake'],['yeast cake'],['Italian'],['Italian'],['Milan' 'Lombardy'],"['Italy' 'Argentina' 'Bolivia' 'Brazil' 'Chile' 'Colombia' 'Ecuador'
 'Guyana' 'Paraguay' 'Peru' 'Suriname' 'Uruguay' 'Venezuela' 'Eritrea'
 'Australia' 'United States' 'Canada']",Australia and New Zealand,Eastern Africa,Northern America,South America,Southern Europe,"The dish is characterized by its cupola shape, which extends from a cylindrical base and is usually about 12–15 cm (4.7–5.9 in) high for a dish weighing 1 kg (2.2 lb)."
Pane di Altamura,[{'no_alias': 'not_stated'}],['bread'],['bread'],['Italian'],['Italian'],['Apulia' 'Altamura'],['Italy'],Southern Europe,,,,,The dish is a type of naturally leavened bread made from remilled durum wheat semolina.
Pandesal,[{'Pan de sal': 'Spanish'}],['bread'],['bread roll'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is a bread roll made of flour, yeast, sugar, oil, and salt."
Obwarzanek krakowski,"[{'obwarzanki krakowskie': 'Polish'}, {'obarzanek': 'Polish'}, {'no_alias': 'not_stated'}]",['bread'],['braided bread'],['Polish'],['Polish'],['Kraków'],['Poland'],Eastern Europe,,,,,The dish is a braided ring-shaped bread that is boiled and sprinkled with salt and sesame or poppy seeds before being baked.
Msemmen,"[{'مسمن': 'Arabic'}, {'msamman': 'not_stated'}, {'musamman': 'not_stated'}, {'رغايف': 'Arabic'}, {'rghaif': 'not_stated'}]",['bread'],['flatbread'],['Maghrebi'],['Maghrebi' 'Algerian' 'Moroccan' 'Tunisian'],['Maghreb' 'Algeria' 'Morocco' 'Tunisia'],['Algeria' 'Libya' 'Mauritania' 'Morocco' 'Tunisia'],Northern Africa,Western Africa,,,,"The dish is a flatbread folded into square pancakes with multiple internal layers and cooked on a griddle, usually served with honey or a cup of aromatic morning mint tea or coffee."
Naan,[{'no_alias': []}],['bread'],['flatbread'],['Indian' 'Indonesian' 'Burmese' 'Chinese' 'Japanese' 'Georgian'],['Indian' 'Indonesian' 'Burmese' 'Chinese' 'Japanese' 'Georgian'],['India' 'Indonesia' 'Myanmar' 'China' 'Japan' 'Georgia'],['India' 'Indonesia' 'Myanmar' 'China' 'Japan' 'Georgia'],Southern Asia,Western Asia,South Eastern Asia,Eastern Asia,,"The dish is a leavened, oven-baked or tawa-fried flatbread, that can also be baked in a tandoor. It is characterized by a light and fluffy texture and golden-brown spots from the baking process."
